5	6	7	
8	9	10	
11	12	13	
14	15	16	
1	17	18	
1	8	17	
1	9	18	
2	6	19	
2	7	20	
19	20	11	2
10	21	22	3
3	14	21	
3	15	22	
4	12	23	
4	13	24	
4	23	24	
5	6	25	
5	7	26	
8	10	27	
9	10	28	
11	12	29	
11	13	30	
14	16	31	
15	16	32	
17	33	34	
18	33	35	
19	36	38	
20	37	38	
21	39	40	
22	39	41	
23	42	44	
24	43	44	
25	26	45	
25	36	45	
26	37	45	
27	46	34	
28	46	35	
27	28	46	39
38	29	30	47
29	42	47	
30	43	47	
31	40	48	
32	41	48	
31	32	48	
33	34	35	49
36	37	38	50
39	40	41	51
42	43	44	52
53	54	55	45
56	57	58	46
59	60	61	47
62	63	64	48
49	65	66	
49	56	65	
49	57	66	
50	54	67	
50	55	68	
67	68	59	50
58	69	70	51
51	62	69	
51	63	70	
52	60	71	
52	61	72	
52	71	72	
53	54	73	
53	55	74	
56	58	75	
57	58	76	
59	60	77	
59	61	78	
62	64	79	
63	64	80	
65	81	82	
66	81	83	
67	84	86	
68	85	86	
69	87	88	
70	87	89	
71	90	92	
72	91	92	
73	74	93	
73	84	93	
74	85	93	
75	94	82	
76	94	83	
75	76	94	87
86	77	78	95
77	90	95	
78	91	95	
79	88	96	
80	89	96	
79	80	96	
81	82	83	
84	85	86	
87	88	89	
90	91	92	
